experiment	cell	reads	length	unique	multimap	nomap	exonic	intronic	intergenic	rpkm1	max-correlation
SS2_15_0049	SS2_15_0049_K3	799323	43	38.6	10.1	51.3	70.5	3.1	26.4	1504	0.43
SS2_15_0049	SS2_15_0049_K4	91499	43	69.9	23.6	6.5	74.4	9.0	16.6	7378	0.73
SS2_15_0049	SS2_15_0049_K5	593548	43	11.8	3.7	84.5	22.3	7.8	69.9	1054	0.31
SS2_15_0049	SS2_15_0049_K6	498831	43	40.0	9.6	50.4	64.8	7.3	27.9	2841	0.48
SS2_15_0049	SS2_15_0049_K7	808546	43	23.6	4.5	71.9	59.1	4.1	36.8	1466	0.35
SS2_15_0049	SS2_15_0049_K8	258140	43	59.1	14.8	26.1	72.6	6.8	20.6	5276	0.62
SS2_15_0049	SS2_15_0049_K9	855276	43	63.9	13.2	22.9	72.8	6.6	20.6	5528	0.63
SS2_15_0049	SS2_15_0049_L1	302078	43	42.5	10.3	47.2	62.2	10.3	27.5	3000	0.47
SS2_15_0049	SS2_15_0049_L10	388149	43	46.3	12.4	41.3	66.6	6.6	26.8	3469	0.52
SS2_15_0049	SS2_15_0049_L11	475955	43	51.8	12.5	35.7	69.8	6.7	23.5	4093	0.56
SS2_15_0049	SS2_15_0049_L12	482347	43	48.3	11.1	40.6	66.6	7.9	25.5	3752	0.52
SS2_15_0049	SS2_15_0049_L13	488498	43	58.4	12.6	29.1	67.8	10.8	21.4	5569	0.63
SS2_15_0049	SS2_15_0049_L14	426349	43	47.5	11.0	41.4	69.6	5.8	24.6	3772	0.52
SS2_15_0049	SS2_15_0049_L15	164391	43	37.6	12.4	50.0	55.1	15.5	29.4	2097	0.38
SS2_15_0049	SS2_15_0049_L16	362451	43	51.5	13.3	35.1	69.3	6.2	24.6	4347	0.56
SS2_15_0049	SS2_15_0049_L17	297607	43	55.4	13.8	30.7	72.5	5.0	22.5	4168	0.56
SS2_15_0049	SS2_15_0049_L18	317879	43	50.6	13.5	36.0	67.3	7.9	24.7	3970	0.54
SS2_15_0049	SS2_15_0049_L19	299538	43	52.6	14.4	33.0	68.1	6.5	25.4	4769	0.59
SS2_15_0049	SS2_15_0049_L2	301443	43	42.9	12.4	44.8	64.1	23.5	12.4	3684	0.49
SS2_15_0049	SS2_15_0049_L20	484219	43	66.0	12.2	21.8	76.4	3.9	19.7	5628	0.64
SS2_15_0049	SS2_15_0049_L21	425833	43	24.1	10.4	65.5	52.7	6.1	41.2	1424	0.36
SS2_15_0049	SS2_15_0049_L22	574359	43	70.9	10.9	18.1	67.2	17.2	15.6	6415	0.66
SS2_15_0049	SS2_15_0049_L23	220914	43	29.9	8.9	61.2	44.4	19.6	36.0	1922	0.38
SS2_15_0049	SS2_15_0049_L24	164281	43	17.6	7.4	75.0	35.8	10.0	54.2	399	0.25
SS2_15_0049	SS2_15_0049_L3	566483	43	57.7	12.9	29.4	76.4	8.7	14.9	5026	0.61
SS2_15_0049	SS2_15_0049_L4	328029	43	63.0	13.4	23.6	74.4	10.2	15.4	5401	0.63
SS2_15_0049	SS2_15_0049_L5	458025	43	53.2	13.5	33.3	71.6	12.2	16.2	4777	0.58
SS2_15_0049	SS2_15_0049_L6	296047	43	21.4	26.9	51.7	57.5	3.9	38.6	744	0.28
SS2_15_0049	SS2_15_0049_L7	550323	43	56.6	14.7	28.7	70.0	7.1	22.9	4844	0.59
SS2_15_0049	SS2_15_0049_L8	315641	43	47.4	11.0	41.6	69.3	15.1	15.5	3209	0.51
SS2_15_0049	SS2_15_0049_L9	681330	43	61.4	13.7	24.9	74.0	4.8	21.2	4577	0.60
SS2_15_0049	SS2_15_0049_M1	571483	43	21.6	3.8	74.6	55.3	4.0	40.8	1015	0.30
SS2_15_0049	SS2_15_0049_M10	942612	43	63.6	13.7	22.7	76.3	3.6	20.2	5801	0.63
SS2_15_0049	SS2_15_0049_M11	804424	43	63.8	20.9	15.3	70.3	12.3	17.4	7643	0.73
SS2_15_0049	SS2_15_0049_M12	649882	43	45.8	15.0	39.3	63.2	9.9	26.8	3807	0.53
SS2_15_0049	SS2_15_0049_M13	475655	43	46.1	21.6	32.2	44.2	28.6	27.1	6240	0.59
SS2_15_0049	SS2_15_0049_M14	662043	43	50.9	12.7	36.3	70.5	5.9	23.6	4414	0.57
